well_name,Intensity_sum_22_SE,Nuclei_Intensity_mean_00_EU,mapobject_id_cell,mapobject_id
K19,8140935.070099288,498.3476394877316,346293,346438
K19,5870875.218622672,186.99213582281834,346295,346440
K19,8740021.80561087,292.2150303736958,346297,346442
K19,6248771.442210802,523.6121564645267,346298,346443
K19,11757834.962750357,362.4448364018,346299,346444
K19,4609506.0190980835,200.30356909858412,346300,346445
K19,5698825.690512104,321.10690265770694,346301,346446
K19,9287767.668960951,434.58523605323745,346302,346447
K19,4623271.073780621,216.3726499828644,346303,346448
K19,6657526.186532639,255.46108161813,346304,346449
K19,6767803.07610393,310.26921898307796,346306,346451
K19,5769099.999187145,225.41185142600042,346307,346452
K19,8176151.816034416,445.23202644219367,346308,346453
K19,5808398.155429068,176.89285861547688,346309,346454
K19,7026734.245947472,436.4274766573073,346312,346457
K19,5957362.413761613,222.90309625866595,346313,346458
K19,5073618.2801764365,268.5337214904779,346314,346459
K19,7758483.788167614,284.8496169376807,346316,346461
K19,5710815.930598943,249.29422816839156,346317,346462
K19,5103124.32898313,166.7791549972497,346318,346463
K19,5365100.072512655,243.53442327391306,346319,346464
K19,4257095.688327622,144.21274688747258,346321,346466
K19,7211987.0056986315,229.17476350148604,346322,346467
K19,4850244.656564648,209.28042438328788,346323,346468
K19,5077600.005908775,164.78719603559313,346326,346471
K19,5105195.661295412,256.04356693072344,346327,346472
K19,6299312.691924755,211.00511146083505,346329,346474
K19,5630083.32501359,262.3953504226096,346331,346476
K19,7136223.802950259,195.27198345439317,346334,346479
K19,6562615.937468319,184.26964222071985,346335,346480
K19,7768371.2884735055,324.6041351211778,346337,346482
K19,6424396.54481297,188.8842816241701,346338,346483
K19,5577753.020050443,281.98239185292715,346339,346484
K19,7788923.08747176,343.28113123426976,346340,346485
K19,6578483.927009248,330.0742686023905,346347,346492
K19,8039059.775934413,214.27187573174854,346348,346493
K19,6750185.632035169,466.81817646422957,346349,346494
K19,7400359.834107039,293.6735870976212,346350,346495
K19,7054320.537616741,304.82155488726534,346351,346496
K19,8490027.913838042,510.408004868593,320500,320550
K19,7917924.290535422,335.6818138622856,320501,320551
K19,5714865.73835963,183.8013558771193,320502,320552
K19,4188955.917057082,152.81944088238532,320504,320554
K19,5875495.822987778,335.46986757995427,320506,320556
K19,5743058.330728332,255.54284714685434,320507,320557
K19,9566466.036318474,503.1130290031484,320508,320558
K19,4700857.470331084,142.44599012786557,320509,320559
K19,6983240.168938467,621.1274280328976,320511,320561
K19,10624627.938197972,453.7788628221848,320512,320562
K19,6300316.170302452,350.53162597619024,320513,320563
K19,6507761.720520213,289.24310247851804,320514,320564
K19,8576042.631404905,439.2620370213776,320516,320566
K19,7039815.74926231,388.2576722036101,320517,320567
